tu_id	speaker	start	end	duration	text
111	PKP031	223.910	229.990	6.080	 io prendo eh: xxx {P} un no non lo so vengo anch'io
112	PKP012	232.505	233.585	1.080	 ma fai {P} [coda]
113	PKP031	233.195	235.685	2.490	 [°michi] occio° lascialo lì
114	PKP038	254.120	255.150	1.030	 °sono un genio,°
115	PKP038	256.360	259.269	2.909	 °sono un genio dicono che non ci si puo' più salutare (con il gomito)°
116	PKP012	259.459	259.800	0.341	 NO
117	PKP012	260.695	261.555	0.860	 se: va ben
118	PKP031	313.060	314.240	1.180	 °okay ho scelto°
119	PKP012	315.585	317.245	1.660	 ma avete preso anche per me vero?
120	PKP031	317.530	319.420	1.890	 e tu cos~ no beh >gliel'ave[vi< detto alla linda,]
121	PKP012	318.930	320.350	1.420	 [sì] gliel'ho detto alla flavia
122	PKP031	320.445	323.085	2.640	 °(adesso) gli {P} chiediamo a lei se riesce a:°
123	PKP012	324.980	327.400	2.420	 ma dovrebbe farlo perché ogni tanto devono uscire
124	PKP012	330.100	330.620	0.520	 e buondì
125	PKP031	332.080	335.690	3.610	 >questa< io la chiamo la tristona {P} sempre triste::
126	PKP012	337.360	343.220	5.860	 no ma scusa avrà avuto posto per mettere anche i miei no {P} no i cosi
127	PKP031	346.810	348.080	1.270	 °eh adesso glielo diciamo°
128	PKP031	356.470	356.740	0.270	 °è là°
129	PKP031	359.730	362.600	2.870	 °xx igienizzo anche il telefono {P} ovviamente°
130	PKP012	362.630	367.200	4.570	 no io lo igienizzo sempre quando torno a casa {P} con l'alcol e una: [pezza]
131	PKP031	365.940	366.570	0.630	 [(°esatto°)]
132	PKP031	379.570	381.350	1.780	 °ieri son andato al parco di san giuliano°
133	PKP012	381.845	382.305	0.460	 ieri?
134	PKP031	382.485	391.095	8.610	 si c'era un sacco di gente ho visto che la cami ha fatto le storie che era al parco di san giuliano ho visto xxxxxxxxxxxxx {P} al parco di san giuliano,
135	PKP031	392.380	393.220	0.840	 e:::
136	PKP031	394.180	397.580	3.400	 eh {P} un sacco di gente c'era la coda che arrivava fin fuori
137	PKP031	398.615	403.695	5.080	 tutti quanti hanno pensato >è una bella giornata< andiamo: [invece di andare] in centro vado: al parco e:
138	PKP012	401.360	409.630	8.270	 [io: {P}] io pagherei oro per andare in montagna a farmi una camminata ma non posso farlo [perché] sono fuori comune
139	PKP031	407.670	408.480	0.810	 [°perché no?°]
140	PKP031	410.920	413.330	2.410	 [ma vara che ci si] puo' spostare fuori comu[ne.]
141	PKP012	411.100	412.170	1.070	 [non posso andare,]
142	PKP012	413.170	413.550	0.380	 [sì?]
143	PKP031	414.925	419.155	4.230	 non siamo [nella zona:] e pero' diciamo (sì) scusate [ragazzi qua:]
144	PKP011	415.685	416.165	0.480	 [°arrivano°]
145	PKP012	417.930	418.400	0.470	 [cioè ma?]
146	PKP011	418.830	423.390	4.560	 [sì ma:] quando ci portano la roba poi ci pen~ quando ci portano da bere [ci (portano)]
147	PKP012	423.055	426.535	3.480	 [sì vabbé] ma allora aspettiamo almeno che igienizzino [un attimo il tavolo]
148	PKP011	425.860	426.590	0.730	 [e: pero']
149	PKP011	427.630	429.240	1.610	 °scusa {P} posso prenderti una sedia?°
150	???	429.360	430.180	0.820	 °>vai vai< pure°
151	PKP011	440.535	442.345	1.810	 e dopo la ale {P} non si puo' [sedere.]
152	PKP031	442.095	444.985	2.890	 [eh] eh la [ale sta in piedi non lo so]
153	PKP012	442.715	446.845	4.130	 [e le~ e:: per me] puo' stare anche a casa a sto [punto]
154	PKP011	446.385	447.355	0.970	 [ma po]verina?
155	PKP012	447.375	449.285	1.910	 [NO] ma [scusa] guarda che ore sono,
156	PKP011	447.935	448.535	0.600	 {ride}
157	PKP038	449.290	452.840	3.550	 >comunque< avete notato che la laura ah ha usato due scuse?
158	PKP031	453.610	454.070	0.460	 °cioè?°
159	PKP038	454.100	457.510	3.410	 {ride} che prima mi ha detto che >doveva studiare le faccio< ma anch'io st~ devo studiare
160	PKP011	457.520	458.860	1.340	 °ma dopo deve uscire con matteo°
161	PKP038	458.875	463.515	4.640	 cioè tipo {P} ero tipo {P} ma michi? {ride} >e lei ha detto< tanto non me ne frega più
162	PKP012	463.600	468.540	4.940	 cioè cosa devo dirti? che studi e dopo che esca col moroso cosa ti devo dire,
